acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.47377887,3.4624143,9.175877,0.012370021,-0.020922136,0.0047342055,20240202_145350_248
-0.4642076,3.4624143,9.132806,0.011148291,-0.022143865,0.0035124752,20240202_145350_250
-0.44985065,3.438486,9.123235,0.011148291,-0.019700404,0.0047342055,20240202_145350_251
-0.4354937,3.4337006,9.099306,0.011148291,-0.022143865,0.0035124752,20240202_145350_252
-0.4354937,3.4289148,9.094521,0.00992656,-0.022143865,0.0035124752,20240202_145350_253
-0.41635114,3.4097722,9.094521,0.0062613687,-0.016187929,0.0035124752,20240202_145350_254
-0.41635114,3.4097722,9.075378,0.0038179078,-0.014966198,0.0035124752,20240202_145350_259
-0.41635114,3.4241292,9.080164,0.0013744468,-0.0125227375,0.0035124752,20240202_145350_260
-0.42592242,3.4337006,9.05145,-0.0035124752,-0.0027488936,0.0035124752,20240202_145350_261
-0.41156548,3.4432719,9.032308,-0.005955936,-0.003970624,0.0047342055,20240202_145350_261
-0.43070808,3.4672,9.041879,-0.008399397,-0.0015271631,0.0035124752,20240202_145350_261
-0.4354937,3.4863427,9.05145,-0.012064588,0.004428773,0.0047342055,20240202_145350_262
-0.4354937,3.5150564,9.041879,-0.012064588,0.009315695,0.0047342055,20240202_145350_262
-0.44985065,3.5150564,9.065806,-0.01450805,0.008093964,0.005955936,20240202_145350_263
-0.4354937,3.5294135,9.075378,-0.01572978,0.011759156,0.005955936,20240202_145350_263
-0.44506502,3.5389848,9.104092,-0.01450805,0.012980887,0.0047342055,20240202_145350_264
-0.4642076,3.5246277,9.108877,-0.01572978,0.011759156,0.0071776668,20240202_145350_264
-0.44985065,3.534199,9.118449,-0.01817324,0.012980887,0.0071776668,20240202_145350_264
-0.45942193,3.5389848,9.104092,-0.01695151,0.011759156,0.0096211275,20240202_145350_265
-0.45942193,3.5437703,9.108877,-0.01817324,0.0032070426,0.010842858,20240202_145350_265
-0.44506502,3.5389848,9.108877,-0.01695151,0.001985312,0.012064588,20240202_145350_266
-0.44506502,3.548556,9.0849495,-0.01695151,-0.0015271631,0.01450805,20240202_145350_291
-0.4546363,3.548556,9.080164,-0.01695151,-0.008857546,0.01695151,20240202_145350_292
-0.4546363,3.5581272,9.104092,-0.01572978,-0.010079277,0.019394971,20240202_145350_293
-0.44506502,3.5581272,9.099306,-0.01572978,-0.005192355,0.021838432,20240202_145350_294
-0.4354937,3.562913,9.104092,-0.01572978,-0.011301007,0.025503624,20240202_145350_295
-0.44027936,3.5437703,9.118449,-0.01572978,-0.006414085,0.024281893,20240202_145350_297
-0.44027936,3.5581272,9.132806,-0.01572978,-0.0076358155,0.027947085,20240202_145350_298
-0.44985065,3.5581272,9.113664,-0.01695151,-0.003970624,0.027947085,20240202_145350_299
-0.44506502,3.548556,9.104092,-0.01817324,-0.003970624,0.030390546,20240202_145350_300
-0.44506502,3.5581272,9.0849495,-0.01695151,-3.0543262E-4,0.029168816,20240202_145350_302
-0.44985065,3.5724843,9.056235,-0.01817324,9.162979E-4,0.025503624,20240202_145350_303
-0.44027936,3.5820556,9.056235,-0.01695151,-3.0543262E-4,0.025503624,20240202_145350_304
-0.44027936,3.586841,9.075378,-0.019394971,-0.0027488936,0.020616703,20240202_145350_306
-0.4354937,3.5724843,9.094521,-0.01695151,9.162979E-4,0.020616703,20240202_145350_307
-0.4354937,3.5389848,9.108877,-0.01817324,0.008093964,0.019394971,20240202_145350_308
-0.40677986,3.5198421,9.113664,-0.019394971,0.004428773,0.01695151,20240202_145350_310
-0.40677986,3.5389848,9.104092,-0.019394971,0.004428773,0.01695151,20240202_145350_310
-0.41635114,3.534199,9.094521,-0.01817324,0.009315695,0.01450805,20240202_145350_311
-0.41635114,3.534199,9.080164,-0.01817324,0.009315695,0.01695151,20240202_145350_313
-0.41635114,3.5150564,9.070593,-0.01817324,7.6358154E-4,0.013286319,20240202_145350_315
-0.43070808,3.5198421,9.065806,-0.01450805,0.0056505036,0.012064588,20240202_145350_317
-0.43070808,3.5102708,9.070593,-0.01695151,7.6358154E-4,0.010842858,20240202_145350_319
-0.4211368,3.4767714,9.132806,-0.013286319,-0.0015271631,0.012064588,20240202_145350_320
-0.4354937,3.4672,9.171091,-0.012064588,0.0032070426,0.013286319,20240202_145350_321
-0.43070808,3.4480574,9.185448,-0.01450805,0.004428773,0.012064588,20240202_145350_322
-0.44985065,3.4576287,9.185448,-0.01450805,0.006872234,0.013286319,20240202_145350_323
-0.4546363,3.4576287,9.185448,-0.013286319,0.0032070426,0.012064588,20240202_145350_325
-0.44506502,3.4624143,9.171091,-0.010842858,0.0056505036,0.010842858,20240202_145350_334
-0.4546363,3.4719856,9.166306,-0.005955936,0.0032070426,0.0096211275,20240202_145350_335
-0.4642076,3.495914,9.142377,-0.0035124752,-0.0015271631,0.0071776668,20240202_145350_336
-0.4546363,3.495914,9.12802,0.0013744468,-3.0543262E-4,0.0071776668,20240202_145350_336
-0.44985065,3.5102708,9.147162,0.0025961774,0.008093964,0.005955936,20240202_145350_337
-0.4642076,3.505485,9.171091,0.0050396384,0.0021380284,0.0035124752,20240202_145350_337
-0.43070808,3.505485,9.132806,0.007483099,0.004428773,0.0036651916,20240202_145350_340
-0.44985065,3.505485,9.213564,0.0062613687,0.0021380284,0.0010690142,20240202_145350_343
-0.4546363,3.495914,9.166306,0.00992656,0.006872234,0.002443461,20240202_145350_343
-0.45942193,3.4911282,9.151948,0.007483099,0.0056505036,0.002443461,20240202_145350_345
-0.4642076,3.495914,9.132806,0.00870483,0.0056505036,0.002443461,20240202_145350_347
-0.4642076,3.481557,9.104092,0.0038179078,-0.006414085,0.0035124752,20240202_145350_349
-0.47856453,3.4863427,9.056235,0.007483099,-3.0543262E-4,0.0010690142,20240202_145350_352
-0.47377887,3.4863427,9.065806,0.007483099,-0.0027488936,0.0022907446,20240202_145350_354
-0.45942193,3.4863427,9.075378,0.0062613687,-0.0076358155,0.0010690142,20240202_145350_356
-0.47377887,3.505485,9.089735,0.0062613687,-0.0027488936,0.0010690142,20240202_145350_358
-0.46899325,3.495914,9.094521,0.007483099,-0.0015271631,0.0010690142,20240202_145350_360
-0.4546363,3.5198421,9.118449,0.0050396384,-0.006414085,0.0010690142,20240202_145350_362
-0.4642076,3.5150564,9.108877,1.5271631E-4,9.162979E-4,0.0010690142,20240202_145350_364
-0.4546363,3.495914,9.089735,-0.0022907446,-0.0027488936,0.0022907446,20240202_145350_366
-0.45942193,3.4672,9.099306,-0.0022907446,-0.005192355,0.0022907446,20240202_145350_368
-0.47856453,3.4672,9.104092,-0.0010690142,9.162979E-4,0.0047342055,20240202_145350_372
-0.47377887,3.5198421,9.065806,-0.0010690142,-0.0027488936,0.0047342055,20240202_145350_373
-0.47377887,3.562913,9.022736,-0.0022907446,-0.008857546,0.005955936,20240202_145350_375
-0.4642076,3.5964124,9.01795,-0.0010690142,-0.010079277,0.0047342055,20240202_145350_378
-0.45942193,3.5964124,9.041879,-0.0047342055,-0.0125227375,0.0047342055,20240202_145350_379
-0.44985065,3.5389848,9.099306,-0.008246681,-0.014966198,0.0047342055,20240202_145350_382
-0.4546363,3.5102708,9.123235,-0.005955936,-0.008857546,0.005955936,20240202_145350_383
-0.45942193,3.5006995,9.16152,-0.008399397,-0.005192355,0.0047342055,20240202_145350_386
-0.4642076,3.505485,9.156734,-0.005955936,-0.006414085,0.005955936,20240202_145350_388
-0.4642076,3.5198421,9.137591,-0.0071776668,-0.005192355,0.0047342055,20240202_145350_390
-0.46899325,3.5294135,9.099306,-0.0047342055,-0.0015271631,0.005955936,20240202_145350_392
-0.47377887,3.5246277,9.0849495,-0.0022907446,-0.010079277,0.0047342055,20240202_145350_394
-0.47377887,3.534199,9.080164,-0.0035124752,-0.008857546,0.0071776668,20240202_145350_397
-0.45942193,3.5389848,9.104092,1.5271631E-4,-0.003970624,0.008399397,20240202_145350_400
-0.45942193,3.534199,9.118449,1.5271631E-4,-0.010079277,0.008399397,20240202_145350_401
-0.4546363,3.5150564,9.142377,0.0013744468,-0.0027488936,0.010842858,20240202_145350_403
