acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.4749753,3.671188,9.226126,-9.162979E-4,0.0025961774,-0.00870483,20240202_145359_497
-0.47976094,3.6664026,9.183055,0.005192355,-0.0035124752,-0.007483099,20240202_145359_498
-0.47976094,3.6520455,9.183055,0.005192355,-0.0071776668,-0.007483099,20240202_145359_498
-0.465404,3.6329029,9.163913,0.011301007,-0.0106901415,-0.0050396384,20240202_145359_499
-0.43669012,3.609573,9.149555,0.014966198,-0.011911872,-0.0025961774,20240202_145359_499
-0.4319045,3.6000016,9.149555,0.01740966,-0.0106901415,-0.0013744468,20240202_145359_503
-0.43669012,3.5856447,9.1256275,0.01985312,-0.009468411,0.0010690142,20240202_145359_503
-0.43669012,3.5712879,9.11127,0.01863139,-0.005955936,0.0010690142,20240202_145359_505
-0.4319045,3.542574,9.082557,0.01740966,-0.0035124752,0.0047342055,20240202_145359_509
-0.4127619,3.5234313,9.039486,0.017256944,0.0025961774,0.005955936,20240202_145359_509
-0.41754755,3.5042887,9.035298,0.014813482,0.007483099,0.005955936,20240202_145359_512
-0.42652065,3.4809587,9.001799,0.011148291,0.007483099,0.0096211275,20240202_145359_514
-0.40737805,3.4570305,9.001799,0.0050396384,0.00870483,0.008399397,20240202_145359_516
-0.4121637,3.4570305,9.01137,0.0025961774,0.013591751,0.008399397,20240202_145359_518
-0.4121637,3.4474592,9.016156,-0.0021380284,0.012370021,0.008399397,20240202_145359_520
-0.40737805,3.4474592,9.030513,-0.008246681,0.013439035,0.0096211275,20240202_145359_522
-0.421735,3.4570305,9.040084,-0.0106901415,0.014660766,0.0071776668,20240202_145359_525
-0.43609193,3.4564323,9.073584,-0.0143553335,0.012217305,0.0070249503,20240202_145359_526
-0.45044887,3.475575,9.078369,-0.020463986,0.013439035,0.00580322,20240202_145359_528
-0.4456632,3.4851463,9.08794,-0.019242255,0.009773844,0.004581489,20240202_145359_531
-0.44626144,3.51386,9.135199,-0.021685716,0.008552114,0.0033597588,20240202_145359_533
-0.44147578,3.5186458,9.14477,-0.022907447,0.0025961774,0.0021380284,20240202_145359_535
-0.44626144,3.5186458,9.159127,-0.022907447,1.5271631E-4,9.162979E-4,20240202_145359_537
-0.45104706,3.51386,9.18784,-0.020463986,1.5271631E-4,9.162979E-4,20240202_145359_539
-0.45104706,3.5234313,9.211769,-0.02031127,-0.0022907446,-0.0015271631,20240202_145359_541
-0.4749753,3.5234313,9.230911,-0.01786781,-0.0047342055,-0.0027488936,20240202_145359_545
-0.47018966,3.5090744,9.245269,-0.0143553335,-0.0047342055,-0.0015271631,20240202_145359_545
-0.47018966,3.5090744,9.226126,-0.013133603,-0.0047342055,-0.0027488936,20240202_145359_547
-0.47018966,3.4995031,9.211769,-0.009468411,-0.005955936,9.162979E-4,20240202_145359_550
-0.45583272,3.4947174,9.202198,-0.004581489,-0.0047342055,-3.0543262E-4,20240202_145359_553
-0.44626144,3.5042887,9.18784,0.0015271631,-0.005955936,0.0035124752,20240202_145359_555
-0.44147578,3.4947174,9.154342,0.005192355,-0.0047342055,0.0035124752,20240202_145359_557
-0.4127619,3.4899318,9.139984,0.008857546,-0.0010690142,0.0047342055,20240202_145359_558
-0.4223332,3.475575,9.1256275,0.0125227375,-0.0035124752,0.0071776668,20240202_145359_561
-0.41754755,3.4707892,9.120842,0.016035212,1.5271631E-4,0.008399397,20240202_145359_563
-0.40797627,3.4564323,9.130413,0.017256944,0.0025961774,0.0096211275,20240202_145359_565
-0.4031906,3.4612179,9.1256275,0.019700404,0.0013744468,0.009773844,20240202_145359_567
-0.4127619,3.4660037,9.107083,0.020922136,0.0050396384,0.009773844,20240202_145359_569
-0.41754755,3.4564323,9.107083,0.022143865,0.012370021,0.009773844,20240202_145359_573
-0.39361933,3.4660037,9.11127,0.020922136,0.007483099,0.007330383,20240202_145359_573
-0.39361933,3.4803605,9.096913,0.019700404,0.012370021,0.0061086523,20240202_145359_576
-0.38883367,3.4803605,9.096913,0.016035212,0.013591751,0.004886922,20240202_145359_578
-0.39361933,3.475575,9.096913,0.014813482,0.00992656,0.0047342055,20240202_145359_580
-0.38404804,3.4803605,9.096913,0.011148291,0.013591751,0.0022907446,20240202_145359_582
-0.4031906,3.4947174,9.11127,0.005192355,0.011148291,-0.0013744468,20240202_145359_584
-0.4127619,3.4995031,9.130413,0.0027488936,0.007483099,-0.0013744468,20240202_145359_586
-0.41754755,3.5090744,9.120842,3.0543262E-4,0.007483099,-0.0050396384,20240202_145359_589
-0.43669012,3.5090744,9.1256275,-0.0033597588,0.0062613687,-0.0050396384,20240202_145359_590
-0.4223332,3.5042887,9.130413,-0.0070249503,0.0050396384,-0.008857546,20240202_145359_592
-0.4127619,3.4899318,9.130413,-0.008246681,1.5271631E-4,-0.0076358155,20240202_145359_595
-0.4408776,3.4707892,9.116654,-0.008246681,0.0013744468,-0.008857546,20240202_145359_597
-0.45583272,3.4899318,9.131011,-0.009468411,0.0013744468,-0.0076358155,20240202_145359_600
