acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.96729857,4.5852466,8.52144,0.016798794,0.0021380284,-0.0061086523,20240202_130817_733
0.9529416,4.6091747,8.531011,0.008246681,9.162979E-4,-0.007330383,20240202_130817_734
0.9290134,4.6283174,8.526225,-0.0015271631,-0.003970624,-0.007330383,20240202_130817_734
0.9242278,4.6378884,8.550154,-0.006414085,-0.011301007,-0.0062613687,20240202_130817_735
0.9242278,4.64746,8.559725,-0.010079277,-0.0076358155,-0.0050396384,20240202_130817_735
0.9098708,4.6522455,8.56451,-0.011301007,-0.0076358155,-0.0050396384,20240202_130817_739
0.9194421,4.685745,8.56451,-0.013744468,-0.011301007,-0.0038179078,20240202_130817_740
0.90508515,4.7096734,8.554939,-0.016187929,-0.0125227375,-0.0038179078,20240202_130817_742
0.8955139,4.738387,8.550154,-0.013744468,-0.010079277,-0.0025961774,20240202_130817_742
0.8859426,4.747958,8.526225,-0.0125227375,-0.011301007,-0.0025961774,20240202_130817_744
0.8859426,4.7575297,8.52144,-0.008857546,-0.008857546,-0.0025961774,20240202_130817_746
0.87637126,4.7623153,8.535796,-0.0076358155,-0.008857546,-0.0038179078,20240202_130817_749
0.87637126,4.7575297,8.56451,-0.006414085,-0.006414085,-0.0038179078,20240202_130817_751
0.8853444,4.767101,8.578269,-3.0543262E-4,-0.005192355,-0.002443461,20240202_130817_753
0.87637126,4.7718863,8.583055,0.0033597588,-3.0543262E-4,-0.0012217305,20240202_130817_755
0.87158567,4.767101,8.568698,0.004581489,0.0033597588,-0.002443461,20240202_130817_757
0.8668,4.781458,8.563912,0.009468411,0.0033597588,-0.0012217305,20240202_130817_759
0.86201435,4.767101,8.56451,0.010537425,0.0070249503,-0.0,20240202_130817_761
0.86201435,4.7718863,8.531011,0.011759156,0.00580322,0.0012217305,20240202_130817_763
0.8380861,4.7575297,8.535796,0.0154243475,0.0070249503,0.0038179078,20240202_130817_766
0.85244304,4.7623153,8.526225,0.0154243475,0.0070249503,0.0038179078,20240202_130817_769
0.84765744,4.767101,8.540583,0.014202617,0.004581489,0.0050396384,20240202_130817_770
0.84765744,4.7575297,8.525627,0.0154243475,0.00580322,0.0062613687,20240202_130817_772
0.8380861,4.7766724,8.544769,0.012980887,0.006872234,0.007483099,20240202_130817_774
0.85244304,4.7623153,8.535198,0.009315695,0.004581489,0.008552114,20240202_130817_777
0.8380861,4.747958,8.5112705,0.0056505036,0.0021380284,0.010995574,20240202_130817_779
0.8428718,4.7336016,8.5112705,0.0032070426,0.0033597588,0.010995574,20240202_130817_782
0.85244304,4.7192445,8.502297,7.6358154E-4,-0.0015271631,0.012217305,20240202_130817_783
0.8428718,4.7096734,8.516654,-4.5814895E-4,-0.0027488936,0.014660766,20240202_130817_785
0.8428718,4.7048874,8.502297,-0.0041233404,-0.003970624,0.015882496,20240202_130817_789
0.85244304,4.7048874,8.48794,-0.0053450707,-0.003970624,0.015882496,20240202_130817_789
0.8380861,4.700102,8.507083,-0.010079277,-0.008857546,0.01450805,20240202_130817_792
0.8668,4.7096734,8.506484,-0.0125227375,-0.0076358155,0.01572978,20240202_130817_794
0.86201435,4.6953163,8.502297,-0.014966198,-0.0076358155,0.01817324,20240202_130817_797
0.86201435,4.680959,8.526225,-0.01740966,-0.0125227375,0.01572978,20240202_130817_798
0.8668,4.6953163,8.520842,-0.022296581,-0.010079277,0.020616703,20240202_130817_800
0.87637126,4.671388,8.507083,-0.01985312,-0.010079277,0.01817324,20240202_130817_803
0.87637126,4.666602,8.531011,-0.02107485,-0.013744468,0.019394971,20240202_130817_805
0.87637126,4.6618166,8.531011,-0.023518313,-0.016187929,0.019394971,20240202_130817_807
0.87158567,4.657031,8.540583,-0.024740042,-0.013744468,0.01695151,20240202_130817_810
0.87637126,4.657031,8.545368,-0.024740042,-0.0125227375,0.01817324,20240202_130817_811
0.8668,4.666602,8.550154,-0.025961773,-0.01740966,0.01695151,20240202_130817_813
