acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.68135625,4.831109,8.493324,-0.0711658,-9.162979E-4,0.016646078,20240202_130807_206
0.7004988,4.807181,8.465208,-0.076052725,-0.0021380284,0.016646078,20240202_130807_208
0.7052845,4.7688956,8.44128,-0.07849618,-9.162979E-4,0.01786781,20240202_130807_209
0.7196414,4.735396,8.412566,-0.08460484,-9.162979E-4,0.017715093,20240202_130807_210
0.7148558,4.7401814,8.393424,-0.0870483,-0.0070249503,0.018936822,20240202_130807_211
0.7196414,4.7210393,8.412566,-0.089491755,-0.00580322,0.020158553,20240202_130807_211
0.7148558,4.735396,8.431708,-0.09315695,-0.011911872,0.022602014,20240202_130807_212
0.71007013,4.7306104,8.436495,-0.09682214,-0.013133603,0.025045475,20240202_130807_213
0.7004988,4.759324,8.469994,-0.10048734,-0.01786781,0.023823744,20240202_130807_213
0.71007013,4.773681,8.507681,-0.10293079,-0.02397646,0.02611449,20240202_130807_214
0.72442704,4.7976093,8.5220375,-0.10888673,-0.026419923,0.02611449,20240202_130807_215
0.7196414,4.801797,8.565108,-0.10888673,-0.030085113,0.02611449,20240202_130807_215
0.7148558,4.811368,8.560323,-0.11377365,-0.03863723,0.02733622,20240202_130807_216
0.7148558,4.802395,8.560323,-0.116217114,-0.044593163,0.02611449,20240202_130807_216
0.7196414,4.8119664,8.550752,-0.11988231,-0.049480084,0.027183503,20240202_130807_231
0.7052845,4.7880383,8.541181,-0.12110403,-0.053145275,0.027183503,20240202_130807_231
0.69092757,4.773681,8.550752,-0.124769226,-0.0580322,0.027183503,20240202_130807_232
0.6861419,4.7688956,8.565108,-0.12232576,-0.06536258,0.028405234,20240202_130807_232
0.69571316,4.725825,8.57468,-0.12232576,-0.06780604,0.027183503,20240202_130807_233
0.69092757,4.735396,8.5938225,-0.117438845,-0.072540246,0.028405234,20240202_130807_233
0.7052845,4.7114677,8.603394,-0.11499538,-0.071318515,0.028405234,20240202_130807_234
0.7148558,4.6971107,8.612965,-0.11255192,-0.072540246,0.029626964,20240202_130807_234
0.7148558,4.706682,8.57468,-0.107665,-0.07742717,0.028405234,20240202_130807_236
0.69571316,4.7114677,8.579466,-0.101556346,-0.07742717,0.02977968,20240202_130807_240
0.72442704,4.6971107,8.589037,-0.094225965,-0.08109236,0.031001411,20240202_130807_241
0.7052845,4.706682,8.589037,-0.08811731,-0.08231409,0.02855795,20240202_130807_242
0.71007013,4.6875396,8.5938225,-0.08323039,-0.0786489,0.031001411,20240202_130807_248
0.7052845,4.6779685,8.589635,-0.08078693,-0.079870634,0.02977968,20240202_130807_250
0.69571316,4.6779685,8.603992,-0.07467828,-0.08353582,0.029932396,20240202_130807_252
0.7052845,4.65404,8.613564,-0.06994407,-0.08460484,0.031154128,20240202_130807_253
0.7052845,4.6492543,8.613564,-0.06872234,-0.08231409,0.027488936,20240202_130807_254
0.7004988,4.644469,8.613564,-0.06505715,-0.079870634,0.031154128,20240202_130807_256
0.71007013,4.6396832,8.608778,-0.06261369,-0.08460484,0.026267206,20240202_130807_257
0.7148558,4.644469,8.632108,-0.061391957,-0.08109236,0.025045475,20240202_130807_259
0.7052845,4.6492543,8.618349,-0.06261369,-0.08109236,0.022602014,20240202_130807_261
0.7292127,4.644469,8.608778,-0.061239243,-0.08231409,0.018936822,20240202_130807_264
0.738784,4.634897,8.612965,-0.061239243,-0.08109236,0.017715093,20240202_130807_266
0.738784,4.6205406,8.622537,-0.061239243,-0.08109236,0.01282817,20240202_130807_268
0.7531409,4.6301117,8.617751,-0.061239243,-0.0786489,0.01160644,20240202_130807_271
0.7722835,4.615755,8.636893,-0.06246097,-0.072540246,0.007941248,20240202_130807_272
0.77706915,4.5918264,8.636893,-0.061239243,-0.072540246,0.0067195175,20240202_130807_274
0.79142606,4.5918264,8.641679,-0.06246097,-0.06887506,0.0018325958,20240202_130807_276
0.8009974,4.5918264,8.589037,-0.061239243,-0.063988134,-0.0018325958,20240202_130807_279
0.8009974,4.587041,8.5938225,-0.05879578,-0.060322944,-0.004276057,20240202_130807_281
0.8249256,4.57747,8.608179,-0.056352317,-0.0580322,-0.005497787,20240202_130807_283
0.84406817,4.5631127,8.598608,-0.05390886,-0.051923547,-0.007788532,20240202_130807_291
0.8775677,4.5678983,8.589037,-0.05024367,-0.048258353,-0.011453724,20240202_130807_292
0.87278205,4.5726843,8.608179,-0.046578474,-0.040927973,-0.013897184,20240202_130807_293
0.887139,4.558327,8.622537,-0.041691553,-0.03359759,-0.015118915,20240202_130807_294
0.887139,4.57747,8.617751,-0.03940081,-0.028863383,-0.017562376,20240202_130807_296
0.8967103,4.5822554,8.617751,-0.034513887,-0.02397646,-0.01985312,20240202_130807_297
0.90149593,4.587041,8.641679,-0.029626964,-0.019089539,-0.01863139,20240202_130807_306
0.9062816,4.615755,8.636893,-0.023518313,-0.010537425,-0.02107485,20240202_130807_307
0.9062816,4.615755,8.656036,-0.022296581,-0.001985312,-0.01985312,20240202_130807_308
0.91106725,4.6205406,8.608179,-0.022296581,-0.0032070426,-0.022296581,20240202_130807_308
0.9062816,4.6205406,8.589037,-0.016187929,0.0015271631,-0.022143865,20240202_130807_308
0.887139,4.6301117,8.622537,-0.0125227375,0.0076358155,-0.023365596,20240202_130807_310
0.8775677,4.6301117,8.617751,-0.008857546,0.005192355,-0.024587326,20240202_130807_311
0.87278205,4.634897,8.627322,-0.0053450707,0.008857546,-0.025809057,20240202_130807_313
0.87278205,4.6492543,8.646464,-0.00290161,0.010079277,-0.027030786,20240202_130807_315
0.8536395,4.6779685,8.617751,7.6358154E-4,0.011301007,-0.029474247,20240202_130807_317
0.85842514,4.6875396,8.612965,-0.0015271631,0.00290161,-0.029474247,20240202_130807_319
0.84406817,4.6875396,8.608179,-3.0543262E-4,0.006414085,-0.030695979,20240202_130807_321
0.82013994,4.682754,8.598608,-0.0027488936,-0.0032070426,-0.03191771,20240202_130807_323
0.82013994,4.6875396,8.5938225,-0.0027488936,-0.0056505036,-0.03191771,20240202_130807_326
0.8105687,4.692325,8.612965,-0.0027488936,-0.009315695,-0.03191771,20240202_130807_328
0.76749784,4.692325,8.589037,-0.003970624,-0.01786781,-0.03313944,20240202_130807_330
0.7722835,4.6875396,8.5938225,-0.005192355,-0.022602014,-0.03191771,20240202_130807_332
0.74835527,4.6875396,8.584251,-0.005192355,-0.023823744,-0.03313944,20240202_130807_334
0.73399836,4.692325,8.5938225,-0.005192355,-0.031154128,-0.03191771,20240202_130807_336
0.7196414,4.7018967,8.5938225,-0.006414085,-0.03848451,-0.032070424,20240202_130807_339
0.69571316,4.682754,8.584849,-0.0076358155,-0.03848451,-0.030848695,20240202_130807_341
0.68135625,4.692325,8.589635,-0.005192355,-0.040927973,-0.029626964,20240202_130807_342
0.6765706,4.6875396,8.599206,-0.006414085,-0.046883907,-0.027183503,20240202_130807_345
0.6622137,4.6971107,8.584849,-0.0015271631,-0.045662176,-0.024587326,20240202_130807_347
0.657428,4.692325,8.59442,-0.0027488936,-0.046883907,-0.024740042,20240202_130807_349
0.67178494,4.692325,8.580064,-0.0015271631,-0.046883907,-0.022143865,20240202_130807_351
0.66699934,4.6971107,8.589635,-3.0543262E-4,-0.045662176,-0.019700404,20240202_130807_353
0.66699934,4.682754,8.608778,-3.0543262E-4,-0.03848451,-0.018478673,20240202_130807_356
0.66699934,4.6779685,8.608778,0.0033597588,-0.03726278,-0.016035212,20240202_130807_357
0.6478567,4.668397,8.608778,0.0033597588,-0.03970624,-0.016035212,20240202_130807_360
0.6430711,4.644469,8.580064,0.0056505036,-0.031154128,-0.012370021,20240202_130807_362
0.62452674,4.6396832,8.575278,0.006872234,-0.025045475,-0.011148291,20240202_130807_364
0.62931234,4.6301117,8.560922,0.010537425,-0.026267206,-0.011148291,20240202_130807_369
0.634098,4.6205406,8.565707,0.009315695,-0.022602014,-0.007483099,20240202_130807_370
0.634098,4.615755,8.546564,0.009315695,-0.015271631,-0.007330383,20240202_130807_370
0.65264237,4.615755,8.560922,0.012980887,-0.010537425,-0.004886922,20240202_130807_373
0.657428,4.6061835,8.560922,0.011759156,-0.014049901,-0.0036651916,20240202_130807_375
0.67178494,4.615755,8.560922,0.011759156,-0.004428773,-0.002443461,20240202_130807_377
0.6765706,4.601398,8.55135,0.014049901,-0.0032070426,-0.0012217305,20240202_130807_379
0.6861419,4.601398,8.580064,0.014049901,-7.6358154E-4,0.0,20240202_130807_381
0.69092757,4.6205406,8.565707,0.01038471,0.0016798794,0.0,20240202_130807_383
0.6861419,4.615755,8.541779,0.009162978,4.5814895E-4,0.0,20240202_130807_385
0.68135625,4.6061835,8.570493,0.007941248,0.0041233404,0.0012217305,20240202_130807_388
0.67178494,4.615755,8.560922,0.009162978,0.009010263,0.0012217305,20240202_130807_390
0.68135625,4.6061835,8.580064,0.0067195175,0.009010263,0.0012217305,20240202_130807_392
0.69571316,4.615755,8.565707,0.005497787,0.007788532,0.002443461,20240202_130807_394
0.7052845,4.601398,8.560922,6.1086525E-4,0.0065668016,0.0036651916,20240202_130807_396
0.7148558,4.615755,8.565707,-0.00290161,0.0053450707,0.0036651916,20240202_130807_399
0.69571316,4.6301117,8.541779,-0.0053450707,-0.001985312,0.0047342055,20240202_130807_401
0.7148558,4.6636114,8.556135,-0.007788532,-0.0032070426,0.0047342055,20240202_130807_403
0.7052845,4.682754,8.55135,-0.013897184,-0.008093964,0.0022907446,20240202_130807_405
0.7196414,4.6875396,8.536993,-0.015118915,-0.006872234,0.0022907446,20240202_130807_408
0.7148558,4.692325,8.560922,-0.017562376,-0.010537425,0.0047342055,20240202_130807_409
0.71007013,4.6875396,8.570493,-0.021227567,-0.014202617,0.0021380284,20240202_130807_411
0.7148558,4.6875396,8.59442,-0.024892759,-0.0154243475,0.0033597588,20240202_130807_413
